,AU,DE,DOI,SO,abstract,copyright,id,keywords,title,year
0,"Benson, J|Ziehn, T|Dixon, NS|Tomlin, AS",sensitivity analysis urban cfd model monte carlo hdmr street canyon,10.1016/j.atmosenv.2007.11.021,ATMOSPHERIC ENVIRONMENT,"In this work global sensitivity studies using Monte Carlo sampling and high dimensional model representations (HDMR) have been carried out on the k-epsilon closure computational fluid dynamic (CFD) model MISKAM, allowing detailed representation of the effects of changing input parameters on the model outputs. The scenario studied is that of a complex street canyon in the city of York, UK. The sensitivity of the turbulence and mean flow fields to the input parameters is detailed both at specific measurement points and in the associated canyon cross-section to aid comparison with field data. This analysis gives insight into how model parameters can influence the predicted outputs. It also shows the relative strength of each parameter in its influence. Four main input parameters are addressed. Three parameters are surface roughness lengths, determining the flow over a surface, and the fourth is the background wind direction. In order to determine the relative importance of each parameter, sensitivity indices are calculated for the canyon cross-section. The sensitivity of the flow structures in and above the canyon to each parameter is found to be very location dependant. In general, at a particular measurement point, it is the closest wall surface that is most influential on the model output. However, due to the complexity of the flow at different wind angles this is not always the case, for example when a recirculating canyon flow pattern is present. The background wind direction is shown to be an important parameter as it determines the surface features encountered by the flow. The accuracy with which this is specified when modelling a full-scale situation is therefore an important consideration when considering model uncertainty. Overall, the uncertainty due to roughness lengths is small in comparison to the mean outputs, indicating that the model is well defined even with large ranges of input parameter uncertainty. (C) ", Elsevier Ltd. All rights reserved.,WOS:000254726300017,TRAFFIC-RELATED POLLUTANT SPATIAL VARIABILITY DISPERSION YORK UK,Global sensitivity analysis of a 3-dimensional street canyon model - Part II: Application and physical insight using sensitivity analysis,2008
1,"Alis, OF|Rabitz, H",function representation monte carlo integration,10.1023/A:1010979129659,JOURNAL OF MATHEMATICAL CHEMISTRY,"Physical models of various phenomena are often represented by a mathematical model where the output(s) of interest have a multivariate dependence on the inputs. Frequently, the underlying laws governing this dependence are not known and one has to interpolate the mathematical model from a finite number of output samples. Multivariate approximation is normally viewed as suffering from the curse of dimensionality as the number of sample points needed to learn the function to a sufficient accuracy increases exponentially with the dimensionality of the function. However, the outputs of most physical systems are mathematically. well behaved and the scarcity of the data is usually compensated for by additional assumptions on the function (i.e., imposition of smoothness conditions or confinement to a specific function space). High dimensional model representations (HDMR) are a particular family of representations where each term in the representation reflects the individual or cooperative contributions of the inputs upon the output. The main assumption of this paper is that for most well defined physical systems the output can be approximated by the sum of these hierarchical functions whose dimensionality is much smaller than the dimensionality of the output. This ansatz can dramatically reduce the sampling effort in representing the multivariate, function. HDMR has a variety of applications where an efficient representation of multivariate functions arise with scarce data. The formulation of HDMR in this paper assumes that the data is randomly scattered throughout the domain of the output. Under these conditions and the assumptions underlying the HDMR it is argued that the number of samples needed for representation to a given tolerance is invariant to the dimensionality of the function, thereby providing for a very efficient means to perform high dimensional interpolation. Selected applications of HDMR's are presented from sensitivity analysis and time-series analysis.",,WOS:000170079400003,SENSITIVITY ANALYSIS REGRESSION KINETICS OUTPUT,Efficient implementation of high dimensional model representations,2001
2,"Li, GY|Xing, X|Welsh, W|Rabitz, H",hdmr svr sensitivity analysis,10.1007/s10910-016-0690-z,JOURNAL OF MATHEMATICAL CHEMISTRY,"High dimensional model representation (HDMR) is a general set of quantitative model assessment and analysis tools for capturing high dimensional input-output system behavior. In practice, the HDMR component functions are each approximated by an appropriate basis function expansion. This procedure often requires many input-output samples which can restrict the treatment of high dimensional systems. In order to address this problem we introduce svr-based HDMR to efficiently and effectively construct the HDMR expansion by support vector regression (SVR) for a function . In this paper the results for independent variables sampled over known probability distributions are reported. The theoretical foundation of the new approach relies on the kernel used in SVR itself being an HDMR expansion (referred to as the HDMR kernel ), i.e., an ANOVA kernel whose component kernels are mutually orthogonal and all non-constant component kernels have zero expectation. Several HDMR kernels are constructed as illustrations. While preserving the characteristic properties of HDMR, the svr-based HDMR method enables efficient construction of high dimensional models with satisfactory prediction accuracy from a modest number of samples, which also permits accurate computation of the sensitivity indices. A genetic algorithm is employed to optimally determine all the parameters of the component HDMR kernels and in SVR. The svr-based HDMR introduces a new route to advance HDMR algorithms. Two examples are used to illustrate the capability of the method.",,WOS:000392430300016,SENSITIVITY-ANALYSIS DEPENDENT-VARIABLES,High dimensional model representation constructed by support vector regression. I. Independent variables with known probability distributions,2017
3,"Cheng, K|Lu, ZZ|Zhou, YC|Shi, Y|Wei, YH",global sensitivity analysis support vector regression orthogonal polynomials kernel function,10.1016/j.apm.2017.05.026,APPLIED MATHEMATICAL MODELLING,"Global sensitivity analysis (GSA) plays an important role in exploring the respective effects of input variables on response variables. In this paper, a new kernel function derived from orthogonal polynomials is proposed for support vector regression (SVR). Based on this new kernel function, the Sobol' global sensitivity indices can be computed analytically by the coefficients of the surrogate model built by SVR. In order to improve the performance of the SVR model, a kernel function iteration scheme is introduced further. Due to the excellent generalization performance and structural risk minimization principle, the SVR possesses the advantages of solving non-linear prediction problems with small samples. Thus, the proposed method is capable of computing the Sobol' indices with a relatively limited number of model evaluations. The proposed method is examined by several examples, and the sensitivity analysis results are compared with the sparse polynomial chaos expansion (PCE), high dimensional model representation (HDMR) and Gaussian radial basis (RBF) SVR model. The examined examples show that the proposed method is an efficient approach for GSA of complex models.", (C) 2017 Elsevier Inc. All rights reserved.,WOS:000404823100034,CORRELATED INPUTS MODELS CLASSIFIER INDEXES,Global sensitivity analysis using support vector regression,2017
4,"Lambert, RSC|Lemke, F|Kucherenko, SS|Song, SF|Shah, N",global sensitivity analysis high dimensional model representations sobol indices group method of data handling,10.1016/j.matcom.2016.04.005,MATHEMATICS AND COMPUTERS IN SIMULATION,"In this paper, the parameter selection capabilities of the group method of data handling (GMDH) as an inductive self-organizing modelling method are used to construct sparse random sampling high dimensional model representations (RS-HDMR), from which the Sobol's first and second order global sensitivity indices can be derived. The proposed method is capable of dealing with high-dimensional problems without the prior use of a screening technique and can perform with a relatively limited number of function evaluations, even in the case of under-determined modelling problems. Four classical benchmark test functions are used for the evaluation of the proposed technique. (C)  International Association for Mathematics and Computers in Simulation (IMACS).", Published by Elsevier B.V. All rights reserved.,WOS:000377332800004,POLYNOMIAL CHAOS EXPANSIONS INDEXES,Global sensitivity analysis using sparse high dimensional model representations generated by the group method of data handling,2016
5,"Li, GY|Rabitz, H",hdmr correlated variables sensitivity analysis,10.1007/s10910-014-0365-6,JOURNAL OF MATHEMATICAL CHEMISTRY,"High Dimensional Model Representation (HDMR) is a general set of quantitative model assessment and analysis tools for systems with many variables. A general formulation for the HDMR component functions with independent and correlated variables was obtained previously. Since the HDMR component functions generally are coupled to one another and involve multi-dimensional integrals, explicit formulas for the component functions are not available for an arbitrary function with an arbitrary probability distribution amongst their variables. This paper presents analytical formulas for the HDMR component functions and the corresponding sensitivity indexes for the common case of a function expressed as a quadratic polynomial with a multivariate normal distribution over its variables. This advance is important for practical applications of HDMR with correlated variables.",,WOS:000340399400004,DIMENSIONAL MODEL REPRESENTATIONS GLOBAL SENSITIVITY-ANALYSIS DEPENDENT-VARIABLES MATHEMATICAL-MODELS RS-HDMR OUTPUT UNCERTAINTY PARAMETERS INDEXES,Analytical HDMR formulas for functions expressed as quadratic polynomials with a multivariate normal distribution,2014
6,"Ziehn, T|Tomlin, AS",global sensitivity analysis high dimensional model representation urban flow and dispersion street scale model street canyon,10.1016/j.atmosenv.2007.11.018,ATMOSPHERIC ENVIRONMENT,Traditional methods for global uncertainty and sensitivity analysis (SA) such as Monte Carlo methods based on full model simulations are often not suitable for application in environmental modelling due to the nonlinearity and computational complexity of the models. The high dimensional model representation (HDMR) method was developed to express the input-output relationships of a complex model with a high dimensional input space. HDMR provides a model replacement that can be easily employed within global SA. In this work an optimisation method is developed as an extension to the existing set of HDMR tools to improve the accuracy of the mapping process. An application from the field of urban flow and dispersion is chosen to demonstrate the effectiveness of the approach. Model replacements of a k-epsilon model simulating the flow field in an urban street canyon are constructed. The necessary computational effort for their construction is considerably lower than required by traditional global SA methods. First- and second-order sensitivity indices can then be calculated using the replacements without the need for additional full model runs. Comparison with a large sample of full model runs demonstrates that the output statistics of the full model are well represented by the model replacements. The proposed HDMR method therefore provides a powerful tool for general application to global SA of environmental models. (C) , Elsevier Ltd. All rights reserved.,WOS:000254726300016,LARGE-EDDY SIMULATION RS-HDMR UNCERTAINTY DISPERSION FLOW TRANSPORT OUTPUT YORK UK,Global sensitivity analysis of a 3-dimensional street canyon model - Part I: The development of high dimensional model representations,2008
7,"He, XG|Jiang, LJ|Xia, WS",high-dimensional model representation sparse grid stochastic collocation method sensitivity analysis unconfined flow random porous media,10.1007/s00477-016-1241-7,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"In this paper we present a stochastic model reduction method for efficiently solving nonlinear unconfined flow problems in heterogeneous random porous media. The input random fields of flow model are parameterized in a stochastic space for simulation. This often results in high stochastic dimensionality due to small correlation length of the covariance functions of the input fields. To efficiently treat the high-dimensional stochastic problem, we extend a recently proposed hybrid high-dimensional model representation (HDMR) technique to high-dimensional problems with multiple random input fields and integrate it with a sparse grid stochastic collocation method (SGSCM). Hybrid HDMR can decompose the high-dimensional model into a moderate M-dimensional model and a few one-dimensional models. The moderate dimensional model only depends on the most M important random dimensions, which are identified from the full stochastic space by sensitivity analysis. To extend the hybrid HDMR, we consider two different criteria for sensitivity test. Each of the derived low-dimensional stochastic models is solved by the SGSCM. This leads to a set of uncoupled deterministic problems at the collocation points, which can be solved by a deterministic solver. To demonstrate the efficiency and accuracy of the proposed method, a few numerical experiments are carried out for the unconfined flow problems in heterogeneous porous media with different correlation lengths. The results show that a good trade-off between computational complexity and approximation accuracy can be achieved for stochastic unconfined flow problems by selecting a suitable number of the most important dimensions in the M-dimensional model of hybrid HDMR.",,WOS:000399692500002,PARTIAL-DIFFERENTIAL-EQUATIONS FINITE-ELEMENT-METHOD COLLOCATION METHOD DIMENSION REDUCTION POROUS-MEDIA REPRESENTATIONS CONVERGENCE,A stochastic model reduction method for nonlinear unconfined flow with multiple random input fields,2017
8,"Xiao, H|Duan, YG",sensitivity analysis correlated input correlated contribution uncorrelated contribution riveting process model,10.1016/j.apm.2016.02.008,APPLIED MATHEMATICAL MODELLING,"Sensitivity analysis evaluates how the variations in the model output can be apportioned to variations in model inputs. After several decades of development, sensitivity analysis of independent inputs has been developed very well, with that of correlated inputs receiving increasing attention in recent years. This paper introduces a new sensitivity analysis technique for model with correlated inputs. The new method allows us to quantitatively distinguish the effects of the correlated and uncorrelated variations of the model inputs on the uncertainty in model output. This is achieved by performing covariance decomposition for the uncertainty contribution of the inputs after decoupling the correlated and uncorrelated parts of the component functions in the high dimension model representation (HDMR) of the output. The proposed method can be implemented conveniently with any existing HDMR technique developed for independent inputs without any change of the original algorithm. It can be applied to nonlinear and non-monotonic models with correlated inputs. An additive model, two non-additive models with analytical sensitivity indices, and a riveting process model are employed to test the proposed method.", (C) 2016 Elsevier Inc. All rights reserved.,WOS:000377921900030,UNCERTAINTY INDEXES,Sensitivity analysis of correlated inputs: Application to a riveting process model,2016
9,"Chowdhury, R|Adhikari, S",sensitivity analysis structural engineering modelling mechanical behaviour of materials,10.1108/02644401011073683,ENGINEERING COMPUTATIONS,"Purpose - High-dimensional model representation (HDMR) is a general set of quantitative model assessment and analysis tools for capturing the high-dimensional relationships between sets of input and output model variables. It is an efficient formulation of the system response, if higher-order cooperative effects are weak, allowing the physical model to be captured by the lower-order terms. The paper's aim is to develop a new computational tool for estimating probabilistic sensitivity of structural/mechanical systems subject to random loads, material properties and geometry. Design/methodology/approach - When first-order HDMR approximation of the original high-dimensional limit state is not adequate to provide the desired accuracy to the sensitivity analysis, this paper presents an enhanced HDMR (eHDMR) method to represent the higher-order terms of HDMR expansion by expressions similar to the lower-Order ones with monomial multipliers. The accuracy of the HDMR expansion can be significantly improved using preconditioning with a minimal number of additional input-output samples without directly invoking the determination of second- and higher-order terms. As a part of this effort, the efficacy of HDMR, which is recently applied to uncertainty analysis, is also demonstrated. The method is based on computing eHDMR approximation of system responses and score functions associated with probability distribution of a random input. Surrogate model is constructed using moving least squares interpolation formula. Once the surrogate model form is defined, both the probabilistic response and its sensitivities can be estimated from a single probabilistic analysis, without requiring the gradients of performance functions. Findings - The results of two numerical examples involving mathematical function and structural/solid-mechanics problems indicate that the sensitivities obtained using eHDMR approximation provide significant accuracy when compared with the conventional Monte Carlo method, while requiring fewer original model simulations. Originality/value - This is the first time where application of eHDMR concepts is explored in the stochastic sensitivity analysis. The present computational approach is valuable to the practical modelling and design community.",,WOS:000286569400004,DIMENSIONAL MODEL REPRESENTATIONS STRUCTURAL RELIABILITY-ANALYSIS SYSTEMS UNCERTAINTY GRADIENT,Stochastic sensitivity analysis using preconditioning approach,2010
10,"Li, GY|Rabitz, H",hdmr global sensitivity analysis d-morph regression extended bases least-squares regression orthonormal polynomial,10.1007/s10910-011-9898-0,JOURNAL OF MATHEMATICAL CHEMISTRY,"The High Dimensional Model Representation (HDMR) technique decomposes an n-variate function f (x) into a finite hierarchical expansion of component functions in terms of the input variables x = (x (), x (), . . . , x (n) ). The uniqueness of the HDMR component functions is crucial for performing global sensitivity analysis and other applications. When x (), x (), . . . , x (n) are independent variables, the HDMR component functions are uniquely defined under a specific so called vanishing condition. A new formulation for the HDMR component functions is presented including cases when x contains correlated variables. Under a relaxed vanishing condition, a general formulation for the component functions is derived providing a unique HDMR decomposition of f (x) for independent and/or correlated variables. The component functions with independent variables are special limiting cases of the general formulation. A novel numerical method is developed to efficiently and accurately determine the component functions. Thus, a unified framework for the HDMR decomposition of an n-variate function f (x) with independent and/or correlated variables is established. A simple three variable model with a correlated normal distribution of the variables is used to illustrate this new treatment.",,WOS:000298654900005,DIMENSIONAL MODEL REPRESENTATIONS RS-HDMR,General formulation of HDMR component functions with independent and correlated variables,2012
11,"Zuniga, MM|Kucherenko, S|Shah, N",metamodelling global sensitivity analysis random sampling-high dimensional model representation quasi random sampling-high dimensional model representation polynomial chaos expansion,10.1016/j.cpc.2013.02.005,COMPUTER PHYSICS COMMUNICATIONS,In the cases of computationally expensive models the metamodelling technique which maps inputs and outputs is a very useful and practical way of making computations tractable. A number of new techniques which improve the efficiency of the Random Sampling-High dimensional model representation (RS-HDMR) for models with independent and dependent input variables are presented. Two different metamodelling methods for models with dependent input variables are compared. Both techniques are based on a Quasi Monte Carlo variant of RS-HDMR. The first technique makes use of transformation of the dependent input vector into a Gaussian independent random vector and then applies the decomposition of the model using a tensored Hermite polynomial basis. The second approach uses a direct decomposition of the model function into a basis which consists of the marginal distributions of input components and their joint distribution. For both methods the copula formalism is used. Numerical tests prove that the developed methods are robust and efficient., (C) 2013 Elsevier B.V. All rights reserved.,WOS:000317539300010,GLOBAL SENSITIVITY-ANALYSIS COMPONENT FUNCTIONS RS-HDMR MODELS INDEXES REPRESENTATIONS,Metamodelling with independent and dependent inputs,2013
12,"Ziehn, T|Hughes, KJ|Griffiths, JF|Porter, R|Tomlin, AS",cyclic alkane oxidation global sensitivity analysis peroxy radical wall losses uncertainty,10.1080/13647830902878398,COMBUSTION THEORY AND MODELLING,"This paper presents a global sensitivity analysis of simulations of low-temperature isothermal cyclohexane oxidation under fuel-rich conditions using the method of high-dimensional model representation (HDMR). The analysis is used to investigate the important features of the oxidation process, as well as possible factors underlying qualitative discrepancies between simulations and experiments. The particular feature of interest is the characteristic of quadratic autocatalysis, which is observed experimentally and leads to the maximum rate of reaction occurring at % consumption of the deficient reactant (oxygen), with the fuel consumption exerting only a weak dependence. The kinetic mechanisms tested do not exhibit this characteristic when simulating the experimental conditions. The models also exhibit shorter induction times than those observed in the experiment. The HDMR study demonstrates a sensitivity of these features to the A-factors of key reactions of the cyclohexylperoxy radical (CHOO). At the low temperatures studied here, these are peroxy-peroxy radical reactions rather than the isomerisation routes that have been the subject of other investigations at higher temperatures. The low temperature product channels for reactions of the cyclohexylperoxy radical are therefore an important area for future kinetic studies. The effects of wall reactions of peroxy and peroxide species were not found to outweigh the impact of the main A-factors, but including wall losses led to significant higher order interactions between input parameters. This constitutes an interesting and important area for further research.",,WOS:000269793100002,GAS-PHASE OXIDATION MODEL REPRESENTATIONS COMBUSTION CHEMISTRY MECHANISMS PRESSURE RADICALS IGNITION BENZENE FLAME,A global sensitivity study of cyclohexane oxidation under low temperature fuel-rich conditions using HDMR methods,2009
13,"Mukhopadhyay, T|Dey, TK|Chowdhury, R|Chakrabarti, A|Adhikari, S",frp bridge deck lightweight design rs-hdmr genetic algorithm sensitivity analysis optimization,10.1007/s00158-015-1251-y,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"A novel efficient hybrid method based on random sampling-high dimensional model representations (RS-HDMR) and genetic algorithm coupled with a local unconstrained multivariable minimization function is proposed in this study for optimization of FRP composite web core bridge deck panels. The optimization is performed for lightweight design of FRP composite bridge deck panels based on deflection limit, stresses, buckling and failure criteria and subsequently the representative design curves are developed considering normal as well as skew configurations of FRP bridge decks. Sensitivity analysis is also performed to study the effect of variation in geometry of the bridge deck to its deflection, stress and buckling behaviours. High level of computational efficiency can be achieved without compromising the accuracy of results for optimization of high dimensional systems following the proposed approach.",,WOS:000361568900003,DIMENSIONAL MODEL REPRESENTATIONS STRUCTURAL OPTIMIZATION SENSITIVITY-ANALYSIS GLOBAL SENSITIVITY GENETIC ALGORITHM SUPERSTRUCTURE TOPOLOGY STRENGTH SHELLS,Optimum design of FRP bridge deck: an efficient RS-HDMR based approach,2015
14,"Bai, YC|Han, X|Jiang, C|Liu, J",reliability evidence theory meta models quadratic polynomial radial basis function high dimensional model representation,10.1016/j.advengsoft.2012.07.007,ADVANCES IN ENGINEERING SOFTWARE,"Different from classical probability theory, evidence theory has been proposed to handle uncertainties with incomplete or imprecise information. Evidence theory has a flexible framework to represent different types of uncertainties, and has been introduced to perform reliability analysis and design. However, its application for reliability analysis is still a challenging problem due to excessive computational cost. The coupling of the discontinuous nature of uncertainty representation in evidence theory with practical complex problem makes the computational cost extremely prohibitive. To improve its practical utility, metamodels are always used to replace the actual limit-state function to reduce the computational cost. In this paper, we systematically compare three selected metamodeling techniques - quadratic polynomial without cross terms (termed as polynomial approach), radial basis function (RBF), high-dimensional model representation combined with moving least square (HDMR-MLS) - to test the average analysis accuracy and robustness using six representative reliability problems. The objective of this research is to study applicability of different metamodeling techniques for reliability analysis using evidence theory, conclude their overall performances under different test cases, and further investigate their advantages and disadvantages for predicting low failure-probability problems. (C) ", Elsevier Ltd. All rights reserved.,WOS:000309787300006,MULTIDISCIPLINARY DESIGN OPTIMIZATION DIMENSIONAL MODEL REPRESENTATION SENSITIVITY-ANALYSIS EPISTEMIC UNCERTAINTY APPROXIMATION,Comparative study of metamodeling techniques for reliability analysis using evidence theory,2012
15,"Luo, XP|Xu, X|Rabitz, H",high dimensional functions multiple fourier series fourier-hdmr approximation hdmr fundamental conjecture domain decomposition,10.1007/s10910-016-0701-0,JOURNAL OF MATHEMATICAL CHEMISTRY,"Although the HDMR decomposition has become an important tool for the understanding of high dimensional functions, the fundamental conjecture underlying its practical utility is still open for theoretical analysis. In this paper, we introduce the HDMR decomposition in conjunction with the Fourier-HDMR approximation leading to the following conclusions: () we suggest a type of Fourier-HDMR approximation for certain classes of differentiable functions; () utilizing the Fourier-HDMR method, we prove the fundamental conjecture about the dominance of low order terms in the HDMR expansion under relevant conditions, and we also obtain error estimates of the truncated HDMR expansion up to order u; () we prove the domain decomposition approximation theorem which shows that the global Fourier-HDMR approximation is not always optimal for a given accuracy order; () and finally, a piecewise Fourier-HDMR approach is discussed for high dimensional modeling. These results help to further understand how to efficiently represent the high dimensional functions.",,WOS:000392514900014,DIMENSIONAL MODEL REPRESENTATIONS CROSS TRIGONOMETRIC POLYNOMIALS HYPERBOLIC CROSS SENSITIVITY-ANALYSIS ANOVA DECOMPOSITION EXPANSION TRANSFORM LATTICES,On the fundamental conjecture of HDMR: a Fourier analysis approach,2017
